id,type,text1,text2,text3,text4,notes,Column 08
armaa_altagrave,SHIP,"What this design lacks in weapon slot quantity is made up for via versatility; At its heart lies the KARMA system which posseses a variety of applications on the battlespace. Additional modular components grant impressive agility and speed, but are vulnerable to small strikecraft and flanking attacks. 

Created during the First AI War at a period where the local ArmaA branch was considered to be at the peak of its power, this design can be partially attributed to reverse-engineered, borrowed, and outright stolen technologies of various origin. R&D of the accumulated tech base resulted in creation of the Kinetic Automated Range Missile Assimilator. With the aid of a delta-level AI, KARMA autonomously tags and identifies dangerous projectiles, intercepts them, and stores the acquired kinetic energy for later use. In the case of guided missiles, malicious code is injected that spoofs IFFs and renders the original signal unrecognizable, effectively hijacking them. This allows an Altagrave to screen ships against particularly thick hails of ordinance in a pinch, among other things. 

While adopting fighting tactics more akin to a spaceship, operationally they behave more like oversized and overengineered strikecraft. Hardly any space is spared for cargo capacity or personnel to squeeze out maximum combat effectiveness, and assigned staff are generally ferried to the vessel prior to combat operations - lacking many basic amenities provided on true starships - An enhanced derivative of the neural interface used by late-gen Cataphracts enables the vessel to be controlled by a single pilot at nearly a 1:1 ratio (albeit with the aid of neuro-linked support staff, whose sole function is to serve as extra computing power). While a lone pilot could theoretically operate an Altagrave without support staff, but generous projections on the outcome are the resulting strain would leave them with bits of brain leaking out of their ears.",,,,,
,,,,,,,
armaa_altagrave_r,SHIP,"An upgunned variant of the Altagrave employed by the Rocket Stars; At its heart lies the KARMA system which posseses a variety of applications on the battlespace.

Created during the First AI War at a period where the local ArmaA branch was considered to be at the peak of its power, this design can be partially attributed to reverse-engineered, borrowed, and outright stolen technologies of various origin. R&D of the accumulated tech base resulted in creation of the Kinetic Automated Range Missile Assimilator. With the aid of a delta-level AI, KARMA autonomously tags and identifies dangerous projectiles, intercepts them, and stores the acquired kinetic energy for later use. In the case of guided missiles, malicious code is injected that spoofs IFFs and renders the original signal unrecognizable, effectively hijacking them. This allows an Altagrave to screen ships against particularly thick hails of ordinance in a pinch, among other things. 

While adopting fighting tactics more akin to a spaceship, operationally they behave more like oversized and overengineered strikecraft. Hardly any space is spared for cargo capacity or personnel to squeeze out maximum combat effectiveness, and assigned staff are generally ferried to the vessel prior to combat operations - lacking many basic amenities provided on true starships - while an enhanced derivative of the neural interface used by late-gen Cataphracts enables the vessel to be controlled by a single pilot at nearly a 1:1 ratio (albeit with the aid of neuro-linked support staff, whose sole function is to serve as extra computing power). While a lone pilot could theoretically operate an Altagrave without support staff, the resulting strain would leave them with bits of brain leaking out of their ears... and that's a generous assumption.",,,,,
armaa_altagrave_c,SHIP,"A support variant of the Altagrave. The KARMA system has been modified with Tri-Tachyon tech to power a time dilation field capable of enhanching the capabilities of nearby friendlies. 

Created during the First AI War at a period where the local ArmaA branch was considered to be at the peak of its power, this design can be partially attributed to reverse-engineered, borrowed, and outright stolen technologies of various origin. R&D of the accumulated tech base resulted in creation of the Kinetic Automated Range Missile Assimilator. With the aid of a delta-level AI, KARMA autonomously tags and identifies dangerous projectiles, intercepts them, and stores the acquired kinetic energy for later use. In the case of guided missiles, malicious code is injected that spoofs IFFs and renders the original signal unrecognizable, effectively hijacking them. This allows an Altagrave to screen ships against particularly thick hails of ordinance in a pinch, among other things. 

While adopting fighting tactics more akin to a spaceship, operationally they behave more like oversized and overengineered strikecraft. Hardly any space is spared for cargo capacity or personnel to squeeze out maximum combat effectiveness, and assigned staff are generally ferried to the vessel prior to combat operations - lacking many basic amenities provided on true starships - while an enhanced derivative of the neural interface used by late-gen Cataphracts enables the vessel to be controlled by a single pilot at nearly a 1:1 ratio (albeit with the aid of neuro-linked support staff, whose sole function is to serve as extra computing power). While a lone pilot could theoretically operate an Altagrave without support staff, the resulting strain would leave them with bits of brain leaking out of their ears... and that's a generous assumption.",,,,,
armaa_altagrave_g,SHIP,"An offensive variant of the Altagrave. The KARMA system has been omitted in lieu of an enhanced power core and an upsized underslung turret on the torso.

Created during the First AI War at a period where the local ArmaA branch was considered to be at the peak of its power, this design can be partially attributed to reverse-engineered, borrowed, and outright stolen technologies of various origin. R&D of the accumulated tech base resulted in creation of the Kinetic Automated Range Missile Assimilator. With the aid of a delta-level AI, KARMA autonomously tags and identifies dangerous projectiles, intercepts them, and stores the acquired kinetic energy for later use. In the case of guided missiles, malicious code is injected that spoofs IFFs and renders the original signal unrecognizable, effectively hijacking them. This allows an Altagrave to screen ships against particularly thick hails of ordinance in a pinch, among other things. 

While adopting fighting tactics more akin to a spaceship, operationally they behave more like oversized and overengineered strikecraft. Hardly any space is spared for cargo capacity or personnel to squeeze out maximum combat effectiveness, and assigned staff are generally ferried to the vessel prior to combat operations - lacking many basic amenities provided on true starships - while an enhanced derivative of the neural interface used by late-gen Cataphracts enables the vessel to be controlled by a single pilot at nearly a 1:1 ratio (albeit with the aid of neuro-linked support staff, whose sole function is to serve as extra computing power). While a lone pilot could theoretically operate an Altagrave without support staff, the resulting strain would leave them with bits of brain leaking out of their ears... and that's a generous assumption.",,,,,
armaa_altagrave_ex,SHIP,"The heart of this ancient machine undeniably belongs to the Altagrave-class, but upon closer examination, detailed scans reveal traces of automated components integrated into its superstructure. This discovery raises questions about its origin: the inclusion of these automated elements is clearly illegal due to the potential threat of delta+ AI possession. Nevertheless, this vessel still boasts human interfaces, control consoles, and even cramped crew quarters. Could it be that this specimen was once seized by an entity or entity during the tumultuous era of the First AI War and subsequently retrofitted to a different specification?

The truth may have faded into the annals of time, but one fact remains indisputable—its performance is unparalleled. Even today, it outmatches other mobile armors within the Altagrave series.",,,,,
,,,,,,,
armaa_valkenx,SHIP,"The eXpansion-type sacrifices the firepower a full Valken lance offers for far greater survivability. The close quarters chaingun and blade combination can rapidly rend apart armor and disable electronic systems, but they're fairly ineffective against well-shielded opponents and optical weapons.",,,,,
,,,,,,,
armaa_valkenx_frig,SHIP,"A formidable Cataphract with decent striking power and commendable agility, the VX Custom is an ideal choice for interception and attack roles as it effortlessly evades incoming attacks.

Originally designed explicitly for elite pilots who failed to qualify for the esteemed Aleste unit, the Valken X Custom Type, also known as VX Custom, represents a substantial advancement from the standard unit. It effectively closes the performance gap between first and second-generation Cataphract models; the power core three times as powerful, while its frame incorporates a robust yet adaptable internal skeleton that emphasizes versatility and resilience to endure the demanding conditions of space and land combat.",,,,,
,,,,,,,
armaa_caymon,SHIP,You shouldn't be able to see me,,,,,
,,,,,,,
armaa_aleste,SHIP,"The Aleste is an elite class of Cataphract mecha that excels in both durability and versatility. Its combat abilities are further enhanced by the deployment of two Jinete drones, which serve as nimble force multipliers.

As the first known Land-Space design after the Collapse, the Aleste is a direct descendant of the Einhander. It embodies a ""quality over quantity"" approach while still being cost-effective. The decision to revive this line of high-performance specifications arose from the desperate situation during the First AI War, where the frontlines were deteriorating rapidly. By avoiding the use of complex and alien phase components, the Aleste became highly modular. Two different versions were produced, one equipped with autonomous drones for additional anti-fighter capabilities, and another capable of mounting extra weapons for anti-ship purposes.",,,,,
,,,,,,,
armaa_gallant,SHIP,"Slow and unwieldy strikecraft fitted with a Juno Mk. III beam cannon. Can overwhelms shields and vaporize hull, but are effectively helpless while firing. Best utilized in combination with other bombers, where it can soften shields prior to their strike.",,,,,
,,,,,,,
armaa_hazard_frig,SHIP,"Gunhazard sacrifices durability for ludicrous maneuverability and greater firepower. Extremely effective in small skirmishes and at harassing spaceships, G-Hazard comes with command suite, that allows its pilot to command a small Cataphract Lance, making it a cheap and disposable support unit in middle of combat.

Gunhazard is a Valken derivative with different designation in order to reduce potential consumer confusion, though its original designation was lost to time. It has been stated in the documentation that while chassis itself is not particularly expensive, its weaponry and command suite make more than half of unit's cost. Its current 'endearing' designation has been crafted during the chaos of First AI War. Assignments to this Cataphract were seen as marginally better compared to Talon or Valken wings. Unlucky G-Hazard pilots often met their end not from hands of enemy, but due to extreme pressure and gravitational forces exerted on their bodies during combat. This was mostly alleviated with the introduction of inertia dampeners as well as padded harness.",,,,,
armaa_hazard,SHIP,"Gunhazard sacrifices durability for ludicrous maneuverability and greater firepower. Extremely effective in small skirmishes and at harassing spaceships, G-Hazard comes with command suite, that allows its pilot to command a small Cataphract Lance, making it a cheap and disposable support unit in middle of combat.

Gunhazard is a Valken derivative with different designation in order to reduce potential consumer confusion, though its original designation was lost to time. It has been stated in the documentation that while chassis itself is not particularly expensive, its weaponry and command suite make more than half of unit's cost. Its current 'endearing' designation has been crafted during the chaos of First AI War. Assignments to this Cataphract were seen as marginally better compared to Talon or Valken wings. Unlucky G-Hazard pilots often met their end not from hands of enemy, but due to extreme pressure and gravitational forces exerted on their bodies during combat. This was mostly alleviated with the introduction of inertia dampeners as well as padded harness.",,,,,
,,,,,,,
armaa_valkazard,SHIP,"This advanced machine comes with a flexible armament and the powerful SILVERSWORD system that momentarily enhances its performance. However, its agility comes with a trade-off in durability, making it susceptible to sustained or high-powered assaults.

Records and limited evidence suggest that a single unit was moved via gate network for extended storage in the Persean Sector before the Collapse. Unfortunately, its whereabouts after the destruction of old Meshan during c.94 are unknown, and presumably was destroyed along with the planet.",,,,,
,,,,,,,
armaa_prodromos,SHIP,"This suit excels in intercepting fighter formations and missiles but is vulnerable to most space-grade weapons. While it is more durable than conventional infantry, its effectiveness is balanced against the minimal loss of pilots, distinguishing it from its closest comparison, the Wasp.

Arma Armatura considers the Prodromos-class battle armor as one of their greatest creations. As a missing link between power armor-clad infantry and full-scale mechs, the executives envisioned the design to revolutionize traditional strategic marine applications. Soldiers could easily deploy from friendly ships for independent ""breach and board"" operations, eliminating the risk of losing boarding ships to an errant boardee's decision to scuttle their vessel. However, these ambitions were never realized as even the Talon, a lowly model, offers better protection than these hardsuits. Combat drones have also proven to be more suitable for land battles, rendering the Prodromos-class obsolete.

Many spacers are surprised to find the suits inadequate for land use, despite their high speed maneuvers. Jump jets can be reconfigured for space use, but these verniers are not as effective under the pressure of gravity, making them large and slow targets on land.",,,,,
,,,,,,,
armaa_kouto_frig,SHIP,"The Kouto Electronic Type, or E-Type for short, is designed for electronic warfare and to gather intelligence on enemy forces in order to lend allied forces the combat advantage. A large radome is mounted on the back, granting it enhanced ECM capabilities. By piggybacking off of additionally equipped ECM ships, the E-Type can launch coordinated electronic warfare attacks on enemy, rendering them vulnerable.",,,,,
,,,,,,,
armaa_broadsword,SHIP,"Built on the modified aeroframe of the ubiquitous Broadsword, the Broadsword Silvia has been 'upgraded' with an inefficient shield generator as well as software to coordinate a Broadsword wing. It mounts additional hardpoints over the standard chassis, as well as an enhanced maneuvering system.",,, ,,
,,,,,,,
armaa_warthog,SHIP,"A Warthog equipped with the WINGCOM system. Only mildly more effective than a standard Warthog, although the frame can accomodate an additional weapon over the standard chassis, possesses a rudimentary shield,and can rapidly unleash a hail of fire.",,,,,
,,,,,,,
armaa_bit,SHIP,"Customizable gunpods capable of omnidirectional, high-speed attacks. While primarily operated autonomously, the Einhander's secondary pilot can also freely direct them. The majority of the frame is reserved for housing installed weaponry and propulsion systems - as a result, despite being capable of bringing a tremendous amount of firepower to bear, they are mired by limited operational range and durability.",,,,,
,,,,,,,
armaa_alesteBit,SHIP,"Simplified versions of the drones utilized by the Altagrave. They serve as cheap and disposable point defense amplifiers, and are small enough that even Cataphract-sized vessels can house a forge small enough to produce and replenish them during combat.",,,,,
,,,,,,,
armaa_xyphos,SHIP,"Upgraded with enhanced sensors and targetting software, this alteration of the Xyphos is able to operate independently (albeit briefly) and has been modified to carry an Ion Pulser for greater offensive power. Equipped with additional software that allows the pilot to properly coordinate an additional Xyphos wing, making them effective support units.

The design for these Xyphos were developed using captured craft from Tri-Tachyon during the First AI War, and altered with a red paintjob to be easily distinguishable. For one reason or another, they were never pushed into LPC production like most fighter chassis - despite this, they serve as adequate support units for a fleet with no better alternatives, and their ability to rapidly render vessels helpless and adrift in space - provided they are not obliterated first - have garnered them significant use by the more unscrupulous powers in the sector. ",,,,,
,,,,,,,
armaa_leynos_frig,SHIP,"The Leynos stands out as the ultimate assault Cataphract, with its thick armor that rivals even larger frigates, and the ability to mount mid-sized ballistic weaponry. Although it lacks any contemporary shielding system, it compensates with an integrated Damper Field and high burst damage potential.

Originally unveiled as the Valken R-Type, this craft was part of an internal bid among ArmaA executives for a lucrative official contract that would determine the successor to the standard Valken model. However, during combat simulations, the R-Type's large size, low maneuverability, and overburdened power core led to disappointing results, causing it to lose out to the Valken X.

The R-Type prototype was then left to gather dust in an unmarked hangar for years until an enterprising Operations Manager took an interest in the design. They pooled untold credits into rebranding and revamping the design to match S-II standards, resulting in current iteration seen today.",,,,,
,,,,,,,
armaa_leynos_frig_comet,SHIP,"Thick armor rivaling that of smaller frigates and larger housing for additional equipment sees the Leynos often serving as wing leader for small strikecraft squadrons. This particular model of the Leynos is allegedly three times faster than the original, and bears the paint scheme of the Rocket Stars.

Originally devised as the Valken R-Type, this craft was initially intended to be a potential successor to the original Valken as part of an internal ArmaA bid dubbed 'Project VALHAWK', where it competed against several other in-house designs vying for a lucrative contract. However, it's large size, low manuverability, and overburdened power core saw it suffer abysmal performance during combat simulations.

The R-Type was left to languish in an unmarked hangar for some time until an enterprising Operations Manager took interest in it, revamping the designs capability and rebranding it as a specialized command unit for squadron leaders.",,,,,
,,,,,,,
armaa_aleste_frig,SHIP,"The Aleste S-II, a second-generation model tailored for officers, excels in close-quarters melee combat, delivering formidable damage quickly but at the risk of its own well-being. Its torso is equipped with a specialized ""Harpoon"" weapon for swiftly closing distances with larger targets or pulling smaller ones closer.

As the first and perhaps only Post-Collapse Land-Space design, the Aleste descends directly from the Einhander and embodies the ""quality over quantity"" philosophy of its predecessor while being mindful of affordability. The decision to revisit a line of high-performance specifications arose out of desperation during the First AI War, as the warfront situation grew increasingly dire. By omitting complex and alien phase components, the Aleste gained significant modularity, resulting in two versions of the craft - one equipped with autonomous drones for additional anti-fighter capability, and another with additional weaponry for anti-ship purposes.",,,,,
,,,,,,,
armaa_record,SHIP,"The Spriggan is outfitted with a powerful recoilless rifle, making it an ideal choice for delivering a devastating blow that other Cataphract models cannot match. Unfortunately, it must get up close to its target to fully unleash its firepower, in contrast to conventional bombers.

Developed as an intermediate design between the Valken and the Valken EX, the Spriggan was created to support heavier weapons and enhanced survivability. While it accomplished these objectives, the resulting design sacrificed maneuverability and speed. Moreover, production costs were high, and weight-balancing issues arose during atmospheric operations. As a result, the Spriggan never achieved widespread use for general-purpose applications. The latest version has been redesigned to fit a strike role.",,,,,
,,,,,,,
armaa_record_frig,SHIP,"The Spriggan Powered is an advanced model of the Spriggan-class Cataphract, featuring a shield, two drones, and a heavy weapons pack that can launch larger missiles than any other Cataphract type. Although it can hold its own to some extent, it is most effective as a support unit.

Despite being almost identical to the standard Spriggan, the conversion process for the Spriggan Powered is expensive. The armor is reinforced and improved with costlier materials, and the large shield is made with the same high-quality plating. The weapons pack contains systems that allow the pilot to control it directly and store necessary ammunition. Several proposals were put forward to upgrade standard Spriggans to the modified Powered model, but the added weight had an unfavorable effect on atmospheric operations, making mass production unfeasible.",,,,,
,,,,,,,
armaa_whitebase,SHIP,"The Fenris is well-equipped to support both space and land battles, though it is not particularly suited for direct confrontation. Its vast hangar bays, however, enable it to deploy a wide array of strikecraft.

As an atmosphere-capable vessel, the Fenris was designed with the specific purpose of carrying Cataphracts and quickly deploying them to ground targets. The ship is outfitted with armored pods where the Cataphracts are loaded before being launched towards the surface like missiles. When the Fenris is within range, it can easily retrieve deployed Cataphracts and bring them back to the ship as needed.",,,,,
armaa_zanac,SHIP,"Designed upon the concept of marrying high manuverability with offensive prowess. It can wield some of the largest energy weapons found in the Sector, but is lacking in an overall quantity of weapon mounts compared to most destroyers.

Intriguingly, historical records fail to trace the Zanac's involvement during the First AI War, sparking speculation that it might have emerged within the past 40 cycles through collaboration with a third party due ArmaA lacking the resources and infrastructure to develop such a weapon on its own post Collapse. 

Despite several inquiries regarding its origin, ArmaA has remained tight-lipped on the matter, choosing not to disclose any information.",,,,,
armaa_legioMech,SHIP,"#> Ship Classification: Unknown
#> Query closest match.
#> 2 Match(es) found.
#> >> Corsair-class Destroyer : 30% match
#> >> ERROR
#> WARNING: Analysis shows sign of [REDACTED]
#> >> Target capabilities: Unknown
#> .
#> ALERT. System intrusion attempt detected.
#> .
#> .
#> .",,,,,
armaa_garegga_tt,SHIP,"Following Tri-Tachyon's successful takeover of ArmaA's infrastructure and assets during the Battle of Meshan in cycle 94, they rebranded the revamped RA-96 as the ""Tri-hander"" in reference to both their own company name and the legendary Einhander. Although not a primary component of their naval forces, these units were utilized in conjunction with other refurbished ships during the tumultuous period following the First AI War, when ArmaA was still recovering.",,,,,
armaa_garegga,SHIP,"The RA-96 GAREGGA stands first-class amongst craft that excel in close-quarters combat. Dual G-1001 assault weapons capable of decimating entire strikecraft formations and pounding larger ships into scrap are only hindered by their meagre engagement range.

Following the uneasy tension that befell the Sector following the events of Mairaath, the Garegga represented a shift in ArmaA priorities as the corporation was spurred into developing larger and more powerful machines to supplement their embryonic navy. Derived as a testbed for adapting technology behind cataphract-type mechs to a platform optimized for space combat, the Garegga is significantly larger to accomodate a greater power core and ship-grade weaponry, but lacks any ground combat capability. 

The combination neural and targeting interface SILVERSWORD establishes a raw, semi-invasive connection between the pilots brain and an AI core adjunct to the machine itself, and safety limiters can be disabled in order to bring out its maximum potential. Sadly, sustained use resulted in catastrophic brain injury in 96.875% of all trial runs as the human component's mental bandwith was overwhelmed by the exponentially increasing information load fed into it. It was for this reason that an additional emergency stop circuit was introduced shortly thereafter, which automatically halts the system, violently shunting excess flux into the void. This method of interfacing would eventually be discarded in favor of a system that distributed the mental strain across multiple crewmembers.",,,,,
armaa_garegga_xiv_carrier,SHIP,"with the aid of it's sensor drones, The Bakraid excels at providing longe-range fire support. Nevertheless, its limited armor and absence of point defense options expose it to sustained threats. Features a phase-capable unit which can detach and seamlessly continue the battle based on the situation.

The genesis of the Bakraid traces back to a strategic initiative aimed at overcoming the constraints of conventional Cataphracts, which heavily depend on carrier support and lack a travel drive, restricting their viability for extended operations such as longe range patrols. This design came about after some engineers gutted a salvaged Garegga unit and integrated a Cataphract-sized docking clamp in the gaping hole that remained. The limbs were removed in favor of additional missile hardpoints, while crew space and storage were strategically optimized. This transformation not only provided the newly named Bakraid with extended operational endurance but also granted it the autonomy to function independently for prolonged durations. The outcome was a state-of-the-art mobile armor capable of undertaking long-range missions with the added capability to eject the close quarters phase-capable unit as the situation required.

Phase-based ships are a rarity among the various organizations within the greater Hegemony, even for those embracing more experimental design philosophies. For that reason, there has been some speculation that the design was initially intended for another buyer.",,,,,
armaa_panther_frig,SHIP,"Crafted through the collaborative efforts of Arma Armatura engineers and those from a distinguished house of Eventide, the Panther serves as a vital component within the Bakraid-class Mobile Armors, specializing in swift and calculated attacks. Although typically integrated into the Bakraid for coordinated assaults, detaching the Panther is reserved as a last-ditch maneuver, emphasizing its role as a versatile asset in critical situations.

The Panther's proficiency in phase-based operations diverges from the preferences of traditional Hegemony commanders, who favor massive firepower and imposing vessels within their ""decisive battle"" doctrine. Recognizing this misalignment, Arma Armatura charted a different course, designing these units for deployment by a specific organization within the broader Hegemony framework.",,,,,
armaa_garegga_xiv,SHIP,"With thicker armor and enhanced engines that facilitate agile evasion of incoming fire, these units demonstrate proficiency in swiftly closing the distance and creatively disassembling enemy ships, thanks to an oversized jackhammer mounted on their left arm.

Originally crafted to adhere to the Hegemony's ""decisive battle doctrine,"" this version of the GAREGGA underwent a redesign when it became evident that the modified Watchdog units were better suited for the intended role. In this revised form, the GAREGGA had its more esoteric components replaced with easily replaceable ones.",,,,,
armaa_corsair_xiv,SHIP,"The Corsair possesses a massive amount of firepower for its size hindered by an archaic autoloading system that can't quite sustain the stress. The ammo feeder can be overriden to reach performance levels slightly above spec, but only for brief periods of time.",,,,,
armaa_corsair_isen,SHIP,"A specially modified Corsair in the colors of the Iron Sentinels, this version adapts an alternative defensive approach of utilizing removeable armor modules as opposed to integrated armor.

The Corsair possesses a massive amount of firepower for its size hindered by an archaic autoloading system that can't quite sustain the stress. The ammo feeder can be overriden to reach performance levels slightly above spec, but only for brief periods of time.",,,,,
armaa_corsair_p,SHIP,Shouldn't probably be visible/obtainable,,,,,
armaa_kshatriya,SHIP,The Rajanya comes equipped with a powerful 'axe' weapon capable of mending damage received in combat and the capability to engage foes at all ranges. It's four shield binders further augment its defensive and support capabilities. ,,,,,
armaa_ceylon,SHIP,"The carrier is outfitted with an advanced airborne early warning and control (AWACS) system, which enables it to detect and exploit vulnerabilities in enemy vessels while bolstering its own fleet. The carrier relies heavily on three support drones that constantly relay combat information to the bridge crew, allowing them to administer these effects. However, if the support drones are disabled, the effectiveness of the carrier is significantly reduced.",,,,,
armaa_awacs,SHIP_SYSTEM,"Marks selected object as a priority target while analyzing it for potential vulnerabilities. The target takes +25% damage for 7 seconds. Base range is 500 SU, which scales with each deployed drone (up to a maximum range of 2000 SU)",,,,,
,,,,,,,
,,,,,,,
armaa_zanac_rightArm,WEAPON,"""... A highly specialized beam weapon, our arm-mounted marvel harnesses the immense power of condensed energy, delivering devastating blasts in one go. With each shot, it unleashes a scorching stream surrounded by a plasma field, capable of obliterating unprotected targets with ease. However, we've found its energy consumption is substantial, limiting its practicality for sustained and general purpose production...""",- Chief Mechanic,,,,
armaa_armorPod,WEAPON,"An armored pod equipped with dozens of autonomous combat drones. These machines are extremely slow and defenseless in space operations, but are equipped with weapons potent enough to breach hull and board enemy vessels, where they will proceed to do as much damage possible by attacking crew and vital infrastructure.",,,,,
